PUB_ID_C,SKU,ISBN,TITLE,CUSTOMER_NAME,A_STATUS,BOOKTYPEID,CARTON_QTY,WEIGHT,BOOKGROUP,BOOKTYPEDESC,US_INGRAM_GAP_LIST_PRICE
6010036,1501130196,9.7815E+12,Star Trek: The Original Series: The Rings of Time,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150113020X,9.7815E+12,Star Trek: Typhon Pact: Plagues of Night,Simon & Schuster,production,320,16,0.793,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130218,9.7815E+12,Temptation of Your Touch,Simon & Schuster,production,320,14,0.854,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130226,9.7815E+12,That Scandalous Summer,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130234,9.7815E+12,Undead in My Bed,Simon & Schuster,production,320,16,0.823,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130242,9.7815E+12,Vampire Sunrise: Delilah Street: Paranormal Investigator,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130250,9.7815E+12,Vengeance Is Mine,Simon & Schuster,production,320,20,0.641,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130269,9.7815E+12,Vicious Circle,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130277,9.7815E+12,Warrior,Simon & Schuster,production,320,16,0.793,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130285,9.7815E+12,Wrongful Death,Simon & Schuster,production,320,14,0.884,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130293,9.7815E+12,Still Life,Simon & Schuster,production,320,14,0.85,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501130307,9.7815E+12,Roadside Crosses: A Kathryn Dance Novel,Simon & Schuster,production,320,10,1.124,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
